ID;ID da hospedagem;Nome da hospedagem;ID do Hospede;Nome do Hospede;Grupo de vizinhança;latitude;longitude;Tipo de hospedagem;Preço;locação mínima;Número de avaliações;Taxa mesal de ocupação;Número máximo de hóspedes;Disponibilidade anual
560;206772;Williamsburg Exposed Brick Loft;1017473;Evan;Brooklyn;4071413;-7396596;Ap/Casa inteira;90;14;31;0,33;1;263
563;208889;Welcome to Brooklyn! Bed-Stuy;1029021;Jameelah;Brooklyn;4069025;-7393323;Ap/Casa inteira;95;3;30;0,32;3;11
567;212109;2-bedroom share in heart of Greenwich Village!;666271;Susan;Manhattan;4073854;-7400821;Quarto Privativo;125;90;9;0,2;1;338
575;215907;2 Bed, 2 Bath Apartment on Central Park West;1114587;Keenan & Emily;Manhattan;4079816;-739619;Ap/Casa inteira;79;2;45;0,47;3;31
576;217580;Luxury Furnished 1 bedro, Bay Ridge;1121193;Samuel;Brooklyn;4061927;-740307;Ap/Casa inteira;130;30;7;0,08;1;241
577;218358;Your Haven in the Upper West Side;1129218;Orlando;Manhattan;408078;-7395208;Quarto Privativo;105;7;19;0,35;1;285
578;219066;Wonderful Studio In Brooklyn, NY!!!;447754;Yana;Brooklyn;4061922;-7399399;Ap/Casa inteira;99;1;24;0,26;1;183
579;219482;A Cozy Brooklyn Hideaway;759583;Pepe;Brooklyn;4068275;-7396148;Ap/Casa inteira;125;4;8;0,09;2;189
580;219793;??? COUNTRY COTTAGE IN THE CITY???;1138692;Keera (Jena);Manhattan;4071813;-7398416;Ap/Casa inteira;95;1;29;0,31;2;162
581;219818;??? COUNTRY COTTAGE IN THE CITY???;1138692;Keera (Jena);Manhattan;4071892;-7398401;Ap/Casa inteira;116;1;14;0,15;2;158
582;219922;Lovely Bdr in Harlem, Manhattan;1139574;Carmel;Manhattan;40816;-7395545;Quarto Privativo;89;1;33;0,38;1;84
587;221097;Large Artist Floorthru- Greenpoint;1146744;Deborah;Brooklyn;4072595;-7395298;Ap/Casa inteira;100;29;22;0,23;1;335
588;221618;Gorgeous PermaGO Private Room in FiDi - 1/2;4887492;Gershwyn;Manhattan;4071193;-7400817;Quarto Privativo;52;3;82;0,87;2;90
589;222054;CBG Helps Haiti Rm #3;22486;Lisel;Brooklyn;4068012;-7397847;Quarto Privativo;100;2;23;0,24;6;342
590;222304;BEST DEAL IN CHELSEA 1 bdrm NYC;1153993;Anton;Manhattan;4074233;-7399865;Ap/Casa inteira;90;4;32;0,34;1;28
591;223930;Lovely Apartment;1164642;Rosalynn;Brooklyn;4067424;-7396665;Ap/Casa inteira;99;5;24;0,25;1;363
592;224004;Artsy Loft-like Harlem Apartment;1165231;Deirdre;Manhattan;4080486;-7395298;Quarto Privativo;69;1;59;0,63;2;86
593;224006;Harlem/Manhattan Classic Apartment;1165231;Deirdre;Manhattan;4080307;-7395048;Quarto Privativo;130;55;6;0,08;2;83
